DPCOEF,POROS,MMP,SOINIT,XKVH,SOLRAT,RF_1HCPV,RF_2HCPV
0.871,0.103,1686.999,0.373,0.079,8.167,2.054,2.491
0.851,0.098,1491.536,0.377,0.093,4.041,2.134,2.676
0.76,0.102,1791.556,0.45,0.098,9.822,3.743,5.13
0.854,0.106,1608.133,0.388,0.1,8.056,2.304,2.868
0.857,0.091,1429.001,0.414,0.095,7.226,2.642,3.264
0.837,0.105,1567.348,0.425,0.1,8.985,2.936,3.736
0.856,0.097,1632.225,0.386,0.1,6.701,2.247,2.796
0.874,0.1,1552.008,0.387,0.085,4.338,2.206,2.643
0.83,0.105,1667.313,0.418,0.099,4.544,2.774,3.603
0.747,0.104,1754.291,0.405,0.097,6.71,2.872,4.029
0.811,0.105,1697.369,0.387,0.1,6.225,2.357,3.155
0.744,0.107,1646.383,0.416,0.1,9.264,3.201,4.444
0.801,0.099,1603.67,0.427,0.1,6.335,3.138,4.173
0.801,0.102,1514.017,0.376,0.091,6.086,2.294,3.093
0.741,0.099,1586.165,0.345,0.1,5.587,2.027,2.883
0.793,0.098,1529.633,0.38,0.093,3.029,2.316,3.16
0.753,0.099,1791.024,0.41,0.091,2.965,2.859,4.027
0.865,0.103,1770.833,0.434,0.1,7.343,2.869,3.538
0.906,0.1,1467.478,0.427,0.082,5.67,2.667,2.962
0.743,0.104,1721.315,0.375,0.095,6.37,2.385,3.385
0.909,0.103,1668.753,0.43,0.1,9.417,2.696,2.99
0.816,0.092,1833.203,0.422,0.094,8.264,2.769,3.701
0.787,0.101,1588.782,0.414,0.1,5.036,2.952,3.997
0.744,0.099,1676.374,0.411,0.087,8.223,3.068,4.278
0.813,0.1,1605.414,0.421,0.082,9.79,2.949,3.885
0.862,0.104,1411.768,0.427,0.091,3.307,2.77,3.398
0.845,0.1,1391.748,0.422,0.1,9.174,2.832,3.562
0.735,0.105,1448.257,0.363,0.098,4.834,2.313,3.293
0.743,0.102,1530.899,0.413,0.1,7.887,3.202,4.444
0.8,0.101,1515.964,0.425,0.086,7.436,3.112,4.138
0.786,0.103,1678.864,0.371,0.094,7.657,2.218,3.056
0.776,0.093,1673.872,0.374,0.099,9.135,2.269,3.154
0.784,0.092,1828.244,0.419,0.09,7.044,2.886,3.974
0.864,0.094,1536.369,0.386,0.1,3.526,2.199,2.696
0.898,0.099,1794.745,0.39,0.097,7.351,2.105,2.422
0.801,0.097,1636.017,0.389,0.1,4.708,2.423,3.275
0.891,0.108,1598.589,0.374,0.1,9.635,2.091,2.389
0.79,0.1,1655.483,0.438,0.081,4.506,3.382,4.543
0.81,0.102,1668.691,0.421,0.1,3.929,2.909,3.868
0.775,0.097,1475.918,0.378,0.078,2.125,2.328,3.235
0.834,0.098,1688.597,0.361,0.084,8.897,1.969,2.57
0.922,0.098,1677.584,0.388,0.099,9.329,2.135,2.253
0.828,0.102,1878.924,0.391,0.1,2.541,2.12,2.881
0.795,0.1,1774.106,0.338,0.097,5.317,1.717,2.399
0.835,0.1,1661.754,0.43,0.095,5.349,2.988,3.836
0.755,0.101,1672.46,0.426,0.099,8.402,3.333,4.589
0.885,0.103,1801.397,0.426,0.1,4.75,2.591,3.101
0.813,0.094,1823.137,0.421,0.089,4.747,2.778,3.73
0.806,0.103,1723.517,0.414,0.089,4.654,2.779,3.727
0.825,0.101,1695.38,0.407,0.091,5.434,2.595,3.401
0.831,0.102,1441.583,0.442,0.1,7.141,3.289,4.203
0.742,0.098,1725.237,0.413,0.1,9.748,3.063,4.283
0.841,0.099,1513.484,0.406,0.1,6.225,2.598,3.299
0.778,0.097,1619.788,0.419,0.1,5.116,3.082,4.197
0.846,0.108,1570.124,0.377,0.1,2.141,2.096,2.67
0.868,0.1,1549.418,0.444,0.1,3.282,3.072,3.733
0.864,0.109,1536.315,0.343,0.1,9.585,1.876,2.273
0.82,0.1,1738.683,0.408,0.09,4.078,2.58,3.423
0.816,0.097,1696.148,0.356,0.097,3.614,1.912,2.577
0.76,0.1,1607.119,0.426,0.1,3.378,3.301,4.542
0.858,0.093,1654.249,0.444,0.078,6.705,3.147,3.895
0.782,0.106,1847.227,0.391,0.092,5.16,2.355,3.307
0.813,0.104,1567.5,0.427,0.1,6.671,3.079,4.042
0.784,0.103,1615.743,0.385,0.1,9.792,2.459,3.368
0.758,0.101,1610.232,0.368,0.1,2.597,2.233,3.153
0.832,0.101,1792.646,0.38,0.081,3.078,2.069,2.751
0.737,0.109,1551.558,0.382,0.092,6.589,2.636,3.711
0.853,0.097,1850.259,0.406,0.1,3.312,2.318,2.993
0.789,0.103,1534.191,0.42,0.091,7.307,3.081,4.144
0.702,0.101,1440.012,0.373,0.1,8.514,2.635,3.767
0.815,0.108,1485.6,0.358,0.1,7.822,2.063,2.737
0.734,0.104,1576.983,0.375,0.088,4.539,2.484,3.516
0.783,0.109,1648.914,0.382,0.1,8.705,2.415,3.313
0.845,0.101,1605.091,0.38,0.1,6.083,2.212,2.806
0.74,0.096,1560.25,0.375,0.1,8.265,2.478,3.497
0.872,0.1,1619.226,0.395,0.1,9.695,2.331,2.799
0.71,0.102,1729.662,0.426,0.083,5.722,3.587,5.024
0.779,0.103,1729.728,0.36,0.1,5.72,2.044,2.86
0.851,0.09,1678.011,0.427,0.1,3.994,2.826,3.561
0.789,0.1,1807.484,0.397,0.1,2.984,2.444,3.4
0.75,0.097,1628.406,0.409,0.1,7.881,3.018,4.188
0.795,0.105,1337.126,0.422,0.096,7.986,3.048,4.101
0.782,0.096,1528.839,0.383,0.096,5.954,2.441,3.348
0.873,0.102,1543.064,0.441,0.1,8.054,3.066,3.669
0.789,0.097,1614.551,0.358,0.1,3.949,2.031,2.802
0.861,0.098,1769.157,0.399,0.094,2.028,2.241,2.83
0.886,0.107,1729.298,0.378,0.1,2.261,1.965,2.333
0.804,0.097,1504.429,0.391,0.1,6.467,2.495,3.339
0.892,0.094,1605.875,0.394,0.099,2.409,2.192,2.539
0.797,0.094,1652.304,0.434,0.1,8.636,3.272,4.362
0.913,0.1,1852.588,0.393,0.1,7.71,2.057,2.289
0.747,0.102,1375.063,0.411,0.1,9.005,3.114,4.347
0.842,0.098,1588.96,0.441,0.1,7.509,3.197,4.037
0.812,0.102,1853.735,0.397,0.089,2.495,2.289,3.144
0.798,0.093,1835.946,0.391,0.089,4.56,2.301,3.185
0.833,0.105,1543.989,0.445,0.093,4.856,3.325,4.251
0.845,0.104,1301.736,0.423,0.095,6.643,2.786,3.524
0.71,0.108,1627.259,0.438,0.1,9.702,3.952,5.49
0.765,0.106,1745.239,0.39,0.099,8.159,2.538,3.547
0.846,0.098,1541.606,0.411,0.098,4.017,2.621,3.31
0.838,0.099,1791.228,0.378,0.097,2.78,2.015,2.662
0.914,0.103,1544.717,0.428,0.091,9.177,2.681,2.908
0.855,0.095,1635.116,0.437,0.095,6.63,3.041,3.777
0.907,0.098,1676.322,0.379,0.1,3.162,2.007,2.234
0.844,0.095,1549.349,0.361,0.1,8.691,2.009,2.549
0.786,0.1,1551.788,0.373,0.1,7.06,2.29,3.136
0.751,0.101,1590.859,0.406,0.085,9.117,2.986,4.148
0.86,0.096,1727.78,0.38,0.09,8.091,2.106,2.629
0.834,0.092,1434.734,0.407,0.1,6.169,2.613,3.354
0.735,0.103,1642.447,0.386,0.1,6.51,2.672,3.765
0.795,0.092,1659.008,0.435,0.1,6.186,3.288,4.397
0.91,0.108,1617.896,0.394,0.1,2.437,2.152,2.369
0.813,0.097,1792.533,0.397,0.1,9.478,2.404,3.235
0.804,0.102,1632.34,0.386,0.09,9.901,2.394,3.219
0.807,0.099,1643.531,0.356,0.1,4.435,1.966,2.66
0.772,0.093,1631.591,0.397,0.096,8.555,2.686,3.702
0.796,0.1,1676.311,0.418,0.1,9.98,2.938,3.948
0.796,0.1,1456.121,0.441,0.1,2.155,3.372,4.508
0.736,0.105,1762.05,0.356,0.091,4.579,2.068,2.98
0.857,0.103,1387.456,0.42,0.1,6.56,2.734,3.376
0.802,0.094,1645.705,0.379,0.1,5.155,2.281,3.087
0.868,0.096,1636.916,0.423,0.097,9.743,2.731,3.314
0.875,0.098,1493.551,0.386,0.097,3.534,2.17,2.591
0.773,0.095,1385.604,0.362,0.096,5.144,2.152,3.013
0.837,0.1,1458.083,0.405,0.081,7.864,2.595,3.319
0.809,0.108,1521.136,0.431,0.1,8.376,3.207,4.211
0.883,0.1,1754.326,0.371,0.09,2.808,1.896,2.274
0.773,0.103,1738.855,0.344,0.077,3.766,1.829,2.592
0.84,0.102,1407.21,0.43,0.1,3.057,2.915,3.712
0.829,0.105,1528.185,0.411,0.1,6.0,2.731,3.527
0.786,0.097,1758.851,0.421,0.087,6.26,2.995,4.083
0.758,0.103,1506.394,0.353,0.1,7.898,2.125,2.988
0.836,0.105,1873.051,0.431,0.1,8.989,2.821,3.682
0.851,0.096,1515.015,0.392,0.1,3.1,2.298,2.889
0.789,0.098,1683.298,0.432,0.096,6.241,3.252,4.38
0.835,0.108,1573.99,0.354,0.099,5.845,1.96,2.53
0.799,0.103,1456.601,0.43,0.1,9.164,3.225,4.284
0.846,0.098,1514.308,0.41,0.092,6.224,2.625,3.305
0.771,0.101,1658.176,0.401,0.1,3.844,2.728,3.775
0.886,0.099,1546.313,0.354,0.1,9.408,1.916,2.212
0.785,0.1,1633.06,0.411,0.099,9.448,2.883,3.913
0.796,0.098,1492.342,0.404,0.1,3.006,2.686,3.63
0.738,0.097,1584.156,0.414,0.097,8.824,3.209,4.466
0.753,0.102,1603.697,0.413,0.1,8.697,3.112,4.303
0.815,0.103,1572.583,0.394,0.1,6.716,2.497,3.296
0.782,0.105,1488.747,0.373,0.1,5.783,2.312,3.18
0.871,0.096,1588.235,0.435,0.096,3.478,2.893,3.503
0.719,0.104,1664.887,0.436,0.081,3.681,3.773,5.251
0.797,0.097,1820.521,0.374,0.1,4.104,2.064,2.877
0.792,0.099,1705.356,0.406,0.088,2.645,2.673,3.653
0.722,0.106,1470.484,0.373,0.094,7.696,2.55,3.626
0.756,0.1,1521.554,0.427,0.1,2.398,3.339,4.607
0.802,0.096,1419.115,0.36,0.094,2.768,2.008,2.738
0.812,0.096,1456.259,0.451,0.1,3.321,3.534,4.627
0.801,0.1,1512.422,0.405,0.1,7.511,2.747,3.672
0.817,0.103,1489.512,0.344,0.085,2.928,1.838,2.45
0.827,0.109,1496.104,0.43,0.1,3.42,3.011,3.898
0.716,0.103,1503.81,0.41,0.094,9.495,3.292,4.624
0.808,0.105,1532.642,0.411,0.089,4.271,2.789,3.704
0.913,0.103,1450.351,0.38,0.08,7.552,2.099,2.244
0.816,0.105,1523.63,0.385,0.084,9.463,2.387,3.156
0.84,0.094,1663.175,0.434,0.1,2.332,2.977,3.817
0.788,0.106,1506.282,0.407,0.1,5.732,2.824,3.821
0.858,0.099,1475.872,0.342,0.1,6.281,1.839,2.267
0.858,0.106,1410.387,0.385,0.1,8.086,2.252,2.774
0.816,0.094,1599.991,0.404,0.1,9.713,2.632,3.469
0.92,0.102,1731.349,0.367,0.1,2.327,1.836,1.972
0.756,0.103,1403.068,0.36,0.1,5.043,2.184,3.091
0.721,0.109,1612.979,0.353,0.1,5.447,2.197,3.139
0.857,0.103,1649.224,0.406,0.1,9.733,2.522,3.124
0.865,0.099,1629.155,0.384,0.1,8.081,2.21,2.699
0.755,0.101,1751.582,0.388,0.1,9.482,2.522,3.553
0.781,0.099,1744.923,0.353,0.1,3.083,1.896,2.675
0.721,0.096,1401.565,0.415,0.1,2.198,3.269,4.611
0.786,0.097,1554.892,0.417,0.097,9.768,3.025,4.089
0.858,0.097,1656.585,0.424,0.099,4.647,2.757,3.429
0.816,0.101,1807.48,0.408,0.086,7.256,2.568,3.441
0.793,0.106,1712.499,0.418,0.095,3.257,2.887,3.922
0.796,0.106,1478.286,0.403,0.097,6.427,2.723,3.661
0.706,0.093,1524.182,0.397,0.097,9.529,3.041,4.301
0.787,0.094,1693.716,0.379,0.1,7.622,2.301,3.167
0.835,0.097,1591.317,0.352,0.09,5.614,1.919,2.484
0.919,0.097,1614.543,0.382,0.1,9.379,2.1,2.221
0.874,0.094,1634.701,0.41,0.079,3.008,2.466,2.979
0.724,0.099,1436.354,0.436,0.1,5.754,3.818,5.3
0.888,0.101,1738.982,0.378,0.1,6.583,2.039,2.389
0.86,0.101,1743.042,0.409,0.1,2.109,2.41,3.035
0.859,0.1,1590.316,0.396,0.1,2.144,2.296,2.857
0.807,0.098,1640.832,0.406,0.098,6.946,2.7,3.596
0.8,0.102,1652.579,0.334,0.1,7.236,1.786,2.436
0.787,0.104,1484.797,0.363,0.093,9.854,2.173,2.986
0.741,0.098,1442.356,0.374,0.094,4.484,2.457,3.48
0.776,0.094,1361.001,0.431,0.1,4.743,3.317,4.522
0.779,0.098,1774.775,0.349,0.1,6.756,1.866,2.636
0.811,0.095,1549.456,0.402,0.1,7.936,2.646,3.503
0.853,0.1,1424.296,0.436,0.1,6.16,3.043,3.777
0.81,0.096,1589.558,0.408,0.1,6.943,2.74,3.631
0.738,0.1,1416.673,0.396,0.08,3.65,2.836,3.995
0.91,0.097,1423.875,0.389,0.1,7.728,2.18,2.354
0.904,0.103,1596.647,0.406,0.1,5.222,2.378,2.656
0.86,0.092,1602.663,0.396,0.1,6.619,2.371,2.925
0.932,0.101,1625.092,0.412,0.092,7.273,2.401,2.47
0.819,0.096,1651.275,0.405,0.1,2.059,2.556,3.392
0.913,0.09,1655.64,0.402,0.088,6.61,2.293,2.511
0.743,0.105,1579.176,0.442,0.095,9.541,3.817,5.241
0.796,0.102,1646.694,0.424,0.084,2.794,3.028,4.078
0.775,0.094,1534.208,0.405,0.089,2.869,2.798,3.843
0.77,0.102,1581.843,0.4,0.1,3.595,2.74,3.783
0.759,0.101,1566.081,0.414,0.1,2.799,3.038,4.206
0.831,0.1,1543.392,0.421,0.1,8.829,2.89,3.71
0.859,0.099,1507.226,0.382,0.087,9.05,2.215,2.727
0.824,0.105,1418.839,0.409,0.079,5.791,2.689,3.501
0.761,0.097,1601.778,0.365,0.1,8.33,2.241,3.141
0.866,0.099,1611.403,0.393,0.093,4.427,2.285,2.795
0.833,0.098,1545.984,0.438,0.095,6.031,3.188,4.075
0.799,0.103,1834.06,0.384,0.1,6.302,2.223,3.075
0.839,0.106,1617.605,0.367,0.099,4.45,2.048,2.634
0.781,0.105,1758.656,0.366,0.097,6.698,2.103,2.941
0.793,0.104,1621.819,0.39,0.1,8.745,2.507,3.398
0.894,0.108,1484.891,0.375,0.1,9.561,2.11,2.375
0.785,0.102,1832.413,0.392,0.1,4.438,2.374,3.321
0.809,0.103,1756.335,0.413,0.078,9.4,2.732,3.658
0.886,0.108,1591.255,0.43,0.092,7.018,2.82,3.296
0.845,0.091,1509.166,0.362,0.097,6.803,2.011,2.548
0.739,0.101,1500.201,0.417,0.1,2.983,3.247,4.527
0.761,0.103,1713.141,0.361,0.088,7.684,2.119,2.995
0.714,0.106,1411.541,0.389,0.1,4.456,2.831,4.028
0.832,0.105,1644.757,0.455,0.099,5.411,3.51,4.492
0.806,0.104,1645.489,0.355,0.1,3.132,1.933,2.629
0.758,0.107,1481.223,0.344,0.09,3.844,1.975,2.794
0.91,0.1,1669.531,0.385,0.1,6.975,2.125,2.327
0.817,0.091,1669.724,0.44,0.1,6.913,3.284,4.293
0.778,0.091,1551.009,0.344,0.1,5.667,1.93,2.684
0.813,0.1,1594.971,0.375,0.1,7.045,2.234,2.971
0.84,0.099,1726.499,0.404,0.097,8.937,2.493,3.201
0.744,0.099,1607.028,0.376,0.1,2.257,2.404,3.409
0.783,0.099,1637.833,0.352,0.099,3.646,1.963,2.731
0.865,0.106,1572.578,0.352,0.1,4.369,1.879,2.291
0.808,0.098,1464.097,0.401,0.1,6.617,2.648,3.521
0.82,0.105,1881.345,0.402,0.094,7.327,2.363,3.195
0.804,0.106,1609.615,0.412,0.1,6.427,2.837,3.779
0.733,0.1,1546.09,0.365,0.1,7.582,2.353,3.337
0.764,0.099,1673.024,0.397,0.091,5.572,2.708,3.758
0.806,0.103,1638.749,0.404,0.097,8.375,2.683,3.578
0.772,0.102,1504.752,0.375,0.098,2.578,2.305,3.213
0.735,0.098,1751.16,0.401,0.1,6.959,2.849,4.019
0.873,0.095,1412.971,0.412,0.092,2.346,2.465,2.963
0.923,0.097,1633.59,0.452,0.093,3.848,2.955,3.197
0.862,0.095,1593.292,0.404,0.1,2.494,2.41,2.981
0.876,0.098,1539.323,0.427,0.1,6.754,2.799,3.335
0.778,0.097,1723.219,0.424,0.081,3.684,3.095,4.237
0.912,0.101,1651.263,0.438,0.1,2.736,2.748,3.063
0.77,0.107,1691.937,0.414,0.085,8.187,2.987,4.105
0.907,0.102,1573.201,0.374,0.094,2.005,1.955,2.15
0.936,0.106,1798.175,0.382,0.096,6.393,1.981,2.021
0.846,0.103,1549.099,0.419,0.095,9.355,2.796,3.512
0.923,0.103,1609.463,0.399,0.094,8.304,2.278,2.389
0.823,0.099,1790.716,0.378,0.09,6.831,2.108,2.821
0.781,0.098,1422.368,0.408,0.1,2.825,2.817,3.861
0.805,0.104,1439.95,0.433,0.084,8.322,3.251,4.297
0.827,0.106,1867.655,0.387,0.095,4.683,2.12,2.863
0.743,0.1,1828.239,0.404,0.1,3.227,2.758,3.927
0.831,0.091,1697.284,0.403,0.1,9.908,2.499,3.251
0.923,0.104,1595.218,0.364,0.086,2.729,1.887,1.963
0.769,0.098,1601.824,0.359,0.081,7.746,2.13,2.978
0.862,0.091,1515.17,0.431,0.089,4.824,2.891,3.546
0.891,0.104,1579.091,0.437,0.078,8.731,2.911,3.364
0.904,0.1,1578.645,0.433,0.1,6.378,2.776,3.114
0.911,0.102,1380.599,0.39,0.095,9.124,2.179,2.34
0.816,0.106,1585.602,0.381,0.096,6.435,2.312,3.059
0.921,0.1,1593.876,0.439,0.1,4.589,2.78,2.998
0.855,0.1,1654.727,0.43,0.1,9.684,2.906,3.611
0.764,0.098,1604.977,0.423,0.1,5.648,3.236,4.437
0.81,0.098,1742.212,0.385,0.098,8.802,2.286,3.08
0.847,0.104,1557.218,0.407,0.093,8.72,2.597,3.262
0.779,0.099,1571.568,0.416,0.096,6.501,3.038,4.129
0.834,0.096,1622.271,0.403,0.1,6.007,2.539,3.275
0.838,0.094,1491.024,0.404,0.1,4.363,2.546,3.256
0.764,0.1,1566.138,0.416,0.086,6.487,3.129,4.295
0.822,0.1,1662.324,0.417,0.089,6.597,2.82,3.687
0.857,0.102,1572.26,0.377,0.1,3.922,2.114,2.626
0.813,0.1,1770.35,0.39,0.079,8.438,2.319,3.124
0.717,0.095,1636.854,0.419,0.1,4.7,3.407,4.766
0.715,0.1,1466.368,0.379,0.1,8.032,2.674,3.801
0.794,0.106,1596.209,0.434,0.1,9.904,3.327,4.434
0.897,0.096,1694.234,0.425,0.1,9.964,2.625,3.003
0.776,0.102,1646.627,0.431,0.1,8.907,3.35,4.542
0.833,0.101,1756.29,0.382,0.1,8.856,2.174,2.846
0.775,0.103,1687.861,0.361,0.1,8.448,2.104,2.937
0.79,0.095,1405.311,0.36,0.096,7.578,2.104,2.896
0.875,0.107,1442.31,0.401,0.1,3.472,2.349,2.806
0.849,0.101,1648.912,0.383,0.1,2.864,2.154,2.739
0.749,0.104,1507.156,0.379,0.1,6.577,2.529,3.548
0.804,0.097,1627.622,0.375,0.092,7.413,2.241,3.023
0.727,0.103,1706.607,0.402,0.086,5.205,2.945,4.152
0.81,0.103,1624.043,0.401,0.1,9.59,2.609,3.461
0.837,0.099,1573.474,0.392,0.1,4.009,2.359,3.033
0.754,0.099,1647.668,0.365,0.1,4.013,2.219,3.135
0.785,0.102,1460.784,0.436,0.1,8.951,3.441,4.619
0.8,0.094,1676.79,0.392,0.1,6.071,2.476,3.349
0.895,0.103,1666.472,0.364,0.1,2.288,1.862,2.138
0.934,0.093,1604.353,0.348,0.1,3.567,1.82,1.826
0.734,0.096,1524.023,0.367,0.095,6.521,2.39,3.387
0.855,0.102,1709.111,0.382,0.1,4.608,2.136,2.69
0.796,0.094,1603.182,0.406,0.084,5.915,2.756,3.71
0.799,0.108,1403.208,0.445,0.1,8.352,3.535,4.681
0.854,0.105,1778.964,0.38,0.1,5.96,2.076,2.638
0.895,0.101,1695.523,0.42,0.093,5.721,2.556,2.954
0.907,0.104,1626.623,0.434,0.1,3.408,2.715,3.046
0.824,0.105,1580.408,0.39,0.1,3.17,2.348,3.087
0.794,0.097,1815.041,0.378,0.091,5.453,2.152,2.992
0.861,0.105,1698.763,0.397,0.1,3.677,2.3,2.867
0.779,0.096,1610.688,0.432,0.1,5.203,3.332,4.509
0.822,0.099,1650.135,0.34,0.083,6.524,1.811,2.401
0.795,0.101,1524.8,0.397,0.1,2.9,2.563,3.478
0.837,0.102,1487.694,0.417,0.1,3.572,2.733,3.501
0.778,0.092,1521.805,0.404,0.1,8.857,2.823,3.858
0.769,0.098,1529.705,0.397,0.093,7.068,2.745,3.782
0.895,0.101,1683.558,0.401,0.095,7.959,2.327,2.671
0.75,0.098,1458.78,0.406,0.098,5.909,2.986,4.152
0.814,0.103,1699.914,0.41,0.088,7.511,2.714,3.598
0.774,0.102,1607.103,0.387,0.1,5.466,2.52,3.477
0.731,0.097,1563.103,0.399,0.1,3.036,2.901,4.083
0.73,0.095,1532.532,0.38,0.1,5.498,2.605,3.681
0.766,0.101,1603.987,0.449,0.085,7.009,3.825,5.18
0.879,0.099,1539.068,0.371,0.1,4.023,2.024,2.391
0.784,0.096,1578.031,0.367,0.1,7.631,2.207,3.036
0.907,0.098,1683.258,0.379,0.091,3.068,2.002,2.231
0.825,0.098,1640.539,0.435,0.099,3.854,3.115,4.052
0.805,0.095,1687.014,0.408,0.089,7.803,2.72,3.642
0.825,0.1,1672.701,0.394,0.1,3.878,2.396,3.158
0.815,0.103,1717.553,0.436,0.098,7.032,3.178,4.178
0.855,0.101,1490.537,0.432,0.099,7.647,2.983,3.686
0.784,0.104,1870.371,0.39,0.089,3.699,2.289,3.235
0.794,0.095,1592.641,0.402,0.1,6.041,2.692,3.634
0.887,0.099,1674.793,0.433,0.1,9.537,2.816,3.297
0.905,0.101,1659.158,0.384,0.1,6.734,2.124,2.358
0.887,0.102,1620.549,0.391,0.1,2.297,2.159,2.535
0.802,0.102,1872.558,0.42,0.091,3.563,2.726,3.739
0.859,0.103,1497.78,0.412,0.084,8.562,2.624,3.224
0.81,0.102,1575.52,0.351,0.098,5.823,1.958,2.626
0.813,0.094,1451.629,0.363,0.1,2.559,2.016,2.708
0.772,0.102,1480.915,0.425,0.08,4.871,3.26,4.445
0.826,0.103,1672.697,0.346,0.1,7.714,1.861,2.451
0.768,0.109,1329.524,0.435,0.1,7.953,3.477,4.756
0.791,0.102,1759.173,0.38,0.1,6.702,2.258,3.114
0.876,0.102,1643.043,0.404,0.099,8.013,2.437,2.909
0.772,0.1,1581.714,0.402,0.1,5.393,2.791,3.836
0.742,0.105,1544.223,0.39,0.088,5.812,2.737,3.837
0.742,0.109,1450.762,0.347,0.1,5.441,2.078,2.961
0.903,0.103,1781.178,0.372,0.1,4.341,1.899,2.159
0.814,0.101,1672.443,0.405,0.1,7.201,2.645,3.503
0.801,0.094,1546.071,0.394,0.096,7.302,2.547,3.418
0.866,0.103,1412.998,0.391,0.1,8.914,2.311,2.8
0.872,0.102,1542.122,0.36,0.099,4.551,1.943,2.333
0.791,0.103,1482.302,0.386,0.095,7.135,2.482,3.371
0.843,0.095,1703.86,0.399,0.1,4.741,2.402,3.084
0.857,0.102,1675.34,0.357,0.09,9.24,1.913,2.384
0.836,0.098,1599.448,0.355,0.085,4.595,1.927,2.492
0.762,0.103,1756.652,0.397,0.1,8.305,2.654,3.71
0.882,0.097,1480.34,0.402,0.093,8.666,2.401,2.813
0.819,0.102,1585.226,0.378,0.1,4.875,2.245,2.969
0.784,0.098,1671.771,0.384,0.1,3.7,2.383,3.289
0.803,0.091,1410.474,0.42,0.1,2.59,2.916,3.901
0.731,0.101,1559.002,0.428,0.1,9.285,3.584,4.97
0.757,0.095,1622.331,0.384,0.079,7.232,2.546,3.558
0.856,0.102,1556.953,0.387,0.1,8.559,2.291,2.834
0.701,0.106,1594.0,0.424,0.1,6.947,3.678,5.141
0.802,0.108,1634.409,0.446,0.1,3.277,3.453,4.588
0.816,0.097,1557.508,0.384,0.1,4.429,2.324,3.08
0.737,0.104,1438.14,0.419,0.085,4.7,3.335,4.646
0.918,0.098,1458.43,0.396,0.1,5.444,2.226,2.354
0.775,0.106,1608.214,0.379,0.087,2.418,2.332,3.244
0.787,0.103,1477.351,0.41,0.1,7.361,2.905,3.928
0.787,0.094,1759.181,0.395,0.1,4.165,2.481,3.428
0.776,0.099,1727.238,0.379,0.1,5.841,2.322,3.236
0.706,0.098,1550.651,0.361,0.096,2.477,2.341,3.353
0.849,0.103,1725.58,0.428,0.1,7.577,2.859,3.605
0.915,0.099,1610.127,0.429,0.1,6.383,2.679,2.925
0.775,0.102,1469.202,0.356,0.1,9.241,2.113,2.94
0.838,0.101,1636.482,0.409,0.083,3.578,2.583,3.323
0.852,0.108,1659.794,0.368,0.1,9.662,2.059,2.583
0.875,0.106,1422.884,0.407,0.1,9.247,2.511,2.983
0.803,0.099,1537.911,0.433,0.1,4.366,3.232,4.287
0.787,0.103,1331.131,0.379,0.091,9.184,2.338,3.231
0.79,0.104,1538.657,0.386,0.098,4.336,2.45,3.338
0.846,0.106,1545.724,0.42,0.1,4.688,2.779,3.501
0.867,0.094,1642.003,0.415,0.1,9.272,2.601,3.167
0.767,0.098,1489.282,0.391,0.1,8.301,2.648,3.663
0.796,0.098,1373.596,0.426,0.098,5.529,3.101,4.157
0.889,0.099,1538.357,0.435,0.1,2.909,2.807,3.272
0.865,0.096,1722.832,0.394,0.079,5.706,2.267,2.803
0.926,0.1,1568.041,0.349,0.1,8.754,1.892,1.932
0.854,0.102,1573.344,0.398,0.096,6.735,2.434,3.029
0.799,0.1,1590.56,0.415,0.1,2.388,2.841,3.824
0.826,0.102,1688.628,0.375,0.088,5.268,2.137,2.817
0.837,0.094,1593.946,0.36,0.1,7.599,2.0,2.575
0.744,0.105,1428.183,0.381,0.1,9.051,2.584,3.644
0.819,0.107,1492.748,0.34,0.1,9.816,1.876,2.479
0.846,0.101,1483.906,0.413,0.1,8.694,2.698,3.391
0.765,0.105,1602.368,0.366,0.1,8.973,2.261,3.157
0.859,0.095,1373.398,0.414,0.091,3.72,2.554,3.154
0.825,0.104,1525.945,0.376,0.1,8.88,2.241,2.924
0.908,0.095,1634.096,0.452,0.1,9.411,3.079,3.445
0.733,0.099,1552.66,0.4,0.096,7.074,2.965,4.154
0.781,0.098,1670.627,0.349,0.1,5.9,1.946,2.708
0.828,0.101,1565.367,0.418,0.1,8.491,2.85,3.679
0.786,0.098,1838.896,0.391,0.089,6.937,2.359,3.293
0.847,0.101,1821.032,0.405,0.098,8.621,2.393,3.078
0.855,0.099,1710.188,0.44,0.1,5.611,3.06,3.825
0.751,0.105,1809.393,0.399,0.094,3.426,2.641,3.752
0.815,0.101,1491.99,0.421,0.084,9.341,2.963,3.886
0.814,0.097,1688.26,0.382,0.096,9.747,2.266,3.027
0.796,0.098,1540.621,0.413,0.085,9.782,2.89,3.88
0.9,0.104,1677.633,0.36,0.1,9.645,1.923,2.154
0.87,0.099,1559.424,0.431,0.1,5.949,2.885,3.486
0.843,0.1,1528.245,0.373,0.087,7.032,2.144,2.721
0.846,0.102,1813.879,0.382,0.1,9.046,2.09,2.698
0.808,0.098,1494.369,0.442,0.087,2.186,3.334,4.402
0.896,0.098,1691.535,0.368,0.096,3.299,1.91,2.195
0.843,0.1,1658.01,0.378,0.093,3.32,2.12,2.725
0.849,0.097,1533.722,0.403,0.1,3.765,2.474,3.114
