RUN,oil_recovery_at_1hcpv,oil_recovery_at_2hcpv
447,9.59,14.58
448,11.61,16.12
449,7.52,9.89
450,8.25,12.69
451,11.96,19.27
453,10.08,15.48
454,15.11,21.41
455,16.65,24.92
456,9.19,12.68
457,15.0,22.46
458,13.22,20.2
459,12.53,15.76
460,23.66,34.0
461,19.38,28.13
462,10.38,17.11
463,11.56,18.83
464,7.95,9.78
465,8.53,13.16
466,11.31,18.36
467,10.11,16.02
469,7.31,10.61
471,10.7,16.9
472,11.93,18.42
473,8.82,11.46
474,12.63,18.97
475,16.67,26.44
476,8.02,10.73
477,20.3,29.6
478,11.57,18.12
479,13.5,20.74
480,16.66,24.52
481,13.96,21.66
482,11.14,15.6
483,14.78,23.7
484,9.84,12.1
485,8.13,11.27
486,14.64,23.13
487,9.5,11.52
488,10.34,16.21
489,8.33,12.27
490,10.38,13.09
491,11.36,17.74
492,10.75,17.72
493,10.72,17.44
495,9.32,11.34
496,9.99,15.97
497,8.56,12.09
499,9.9,15.64
500,10.52,13.01
501,18.69,28.4
502,11.1,16.39
503,6.6,8.25
505,11.38,14.07
506,12.84,18.81
507,15.08,24.1
509,13.84,20.63
510,11.43,17.42
511,11.26,18.3
512,11.07,18.35
513,8.16,9.95
514,9.72,15.75
515,9.07,14.27
517,11.93,18.01
519,8.48,10.36
520,16.82,26.37
521,9.9,12.95
522,9.01,10.95
523,23.47,33.94
524,7.82,9.58
525,10.81,15.05
527,15.94,25.6
529,11.03,17.03
530,11.78,15.26
531,16.19,25.97
532,15.66,24.16
533,8.76,13.04
534,10.28,14.1
535,8.04,10.26
537,9.76,13.16
538,8.53,13.16
539,14.35,20.81
540,9.66,13.76
541,10.19,16.93
542,9.7,14.82
543,11.46,14.26
544,9.84,12.45
545,10.57,15.5
546,15.83,23.49
548,14.84,21.72
549,14.57,21.27
550,9.02,12.57
551,13.15,21.12
552,12.37,15.11
553,11.61,18.61
554,12.4,16.04
555,8.76,13.51
557,11.45,14.49
558,11.53,17.45
560,13.39,18.76
561,8.18,10.3
562,9.5,11.56
563,10.1,12.37
564,8.43,12.53
565,9.12,11.16
566,9.71,11.95
567,14.12,21.2
568,10.43,16.47
569,10.99,16.28
570,10.31,12.62
571,15.96,24.93
572,9.5,13.21
573,14.55,21.1
574,7.7,9.69
575,20.81,30.82
576,7.98,11.17
577,9.99,13.77
578,7.8,11.56
579,18.94,27.42
580,8.6,11.5
582,10.81,17.28
583,11.81,18.55
584,12.55,17.0
585,16.86,26.42
586,9.91,15.82
587,9.9,16.07
588,9.21,11.35
589,15.78,22.94
590,8.83,13.69
591,11.95,20.01
592,12.43,20.23
593,14.25,20.68
594,10.57,12.97
595,13.41,17.29
596,13.24,17.84
597,9.13,14.46
598,21.42,31.66
599,13.93,21.29
600,11.56,14.09
601,15.73,24.48
602,14.03,21.04
603,11.29,15.95
604,9.74,11.93
605,8.41,10.25
606,8.66,13.59
607,9.9,12.12
608,9.67,14.4
609,11.19,14.2
610,11.02,17.51
612,11.01,17.35
613,10.88,16.99
614,19.5,29.55
615,9.95,15.16
616,17.18,26.65
617,15.12,24.58
618,13.47,22.33
619,19.02,27.76
620,8.47,11.55
621,13.65,20.6
622,10.81,17.24
623,10.71,16.8
624,14.07,22.67
625,17.69,25.81
626,13.2,17.25
627,11.15,17.65
628,13.34,20.52
630,11.78,19.29
631,9.39,14.77
632,14.34,22.66
633,10.78,13.47
634,12.77,20.7
635,9.38,12.69
636,8.92,10.76
637,10.19,12.2
638,10.67,13.09
639,10.81,13.87
640,10.63,13.09
641,9.12,13.57
642,11.74,15.41
643,13.23,21.41
644,7.81,9.62
645,15.8,25.53
646,13.97,19.59
647,12.27,18.77
648,9.48,16.09
649,8.93,14.06
650,11.59,15.06
