RUN,DPCOEF,POROS,MMP,SOINIT,SWINIT,XKVH,SORW,SORG,SORM,SGR,SSR,SWC,SWIR,KWRO,KRSMAX,W,oil_recovery_at_1hcpv,oil_recovery_at_2hcpv
247,0.95,0.116,1781.0,0.563,0.437,0.02,0.301,0.279,0.045,0.087,0.087,0.152,0.152,0.168,0.351,0.745,,
248,0.57,0.106,1385.0,0.525,0.475,0.06,0.457,0.278,0.099,0.047,0.047,0.117,0.117,0.421,0.334,0.714,12.43,18.93
249,0.91,0.112,1631.0,0.475,0.525,0.04,0.219,0.232,0.077,0.093,0.093,0.104,0.104,0.291,0.354,0.614,9.05,11.02
250,0.86,0.098,1686.0,0.574,0.426,0.04,0.209,0.207,0.096,0.089,0.089,0.165,0.165,0.154,0.417,0.374,11.49,14.17
251,0.51,0.116,1703.0,0.459,0.541,0.09,0.228,0.327,0.082,0.062,0.062,0.147,0.147,0.258,0.423,0.733,11.32,17.97
252,0.66,0.112,1483.0,0.569,0.431,0.09,0.423,0.224,0.079,0.08,0.08,0.081,0.081,0.445,0.2,0.352,13.13,19.0
253,0.9,0.113,1618.0,0.571,0.429,0.01,0.479,0.211,0.094,0.064,0.064,0.163,0.163,0.318,0.564,0.788,11.24,13.74
254,0.57,0.098,1456.0,0.492,0.508,0.03,0.208,0.227,0.089,0.096,0.096,0.131,0.131,0.347,0.549,0.563,11.34,17.65
255,0.9,0.108,1897.0,0.564,0.436,0.06,0.319,0.281,0.092,0.001,0.001,0.155,0.155,0.286,0.174,0.451,10.26,12.3
256,0.56,0.115,1525.0,0.407,0.593,0.02,0.44,0.165,0.085,0.089,0.089,0.105,0.105,0.365,0.11,0.578,9.09,14.54
257,0.86,0.106,1600.0,0.418,0.582,0.03,0.46,0.194,0.095,0.055,0.055,0.167,0.167,0.201,0.167,0.612,7.87,9.69
258,0.66,0.098,1866.0,0.421,0.579,0.06,0.212,0.312,0.074,0.012,0.012,0.147,0.147,0.253,0.16,0.716,7.82,11.47
259,0.73,0.094,1659.0,0.445,0.555,0.07,0.424,0.171,0.077,0.062,0.062,0.156,0.156,0.356,0.594,0.261,8.55,12.54
260,0.68,0.102,1424.0,0.408,0.592,0.07,0.208,0.243,0.061,0.097,0.097,0.11,0.11,0.307,0.28,0.522,8.0,12.34
261,0.8,0.115,1768.0,0.41,0.59,0.09,0.442,0.294,0.072,0.018,0.018,0.137,0.137,0.398,0.583,0.231,7.65,10.05
262,0.9,0.109,1522.0,0.417,0.583,0.06,0.273,0.274,0.094,0.041,0.041,0.151,0.151,0.11,0.152,0.625,7.89,9.67
263,0.56,0.119,1348.0,0.592,0.408,0.07,0.445,0.255,0.033,0.075,0.075,0.156,0.156,0.343,0.271,0.215,16.53,23.69
264,0.69,0.12,1617.0,0.408,0.592,0.07,0.287,0.223,0.087,0.06,0.06,0.113,0.113,0.201,0.4,0.647,7.93,12.17
265,0.63,0.109,1336.0,0.482,0.518,0.03,0.464,0.218,0.099,0.092,0.092,0.104,0.104,0.37,0.542,0.543,10.33,15.97
266,0.69,0.102,1542.0,0.504,0.496,0.05,0.415,0.213,0.037,0.013,0.013,0.15,0.15,0.393,0.536,0.363,10.12,15.13
267,0.81,0.107,1584.0,0.536,0.464,0.03,0.457,0.219,0.083,0.072,0.072,0.103,0.103,0.462,0.118,0.409,10.4,13.38
268,0.58,0.097,1508.0,0.509,0.491,0.02,0.264,0.311,0.093,0.031,0.031,0.102,0.102,0.488,0.181,0.724,11.64,17.96
269,0.67,0.105,1824.0,0.473,0.527,0.02,0.479,0.314,0.091,0.028,0.028,0.1,0.1,0.483,0.159,0.554,9.57,14.01
270,0.59,0.1,1413.0,0.467,0.533,0.09,0.205,0.241,0.075,0.029,0.029,0.154,0.154,0.259,0.34,0.298,10.47,16.37
271,0.53,0.107,1478.0,0.542,0.458,0.03,0.363,0.312,0.052,0.059,0.059,0.166,0.166,0.122,0.589,0.576,13.96,20.96
272,0.63,0.096,1869.0,0.542,0.458,0.02,0.214,0.187,0.042,0.035,0.035,0.169,0.169,0.349,0.25,0.301,12.03,17.02
273,0.91,0.111,1560.0,0.591,0.409,0.02,0.314,0.235,0.086,0.067,0.067,0.07,0.07,0.374,0.317,0.617,11.86,14.4
274,0.47,0.103,1399.0,0.475,0.525,0.09,0.328,0.347,0.088,0.042,0.042,0.107,0.107,0.194,0.363,0.594,12.38,19.73
275,0.83,0.109,1481.0,0.499,0.501,0.03,0.432,0.315,0.041,0.042,0.042,0.161,0.161,0.331,0.551,0.3,9.44,11.93
276,0.31,0.101,1723.0,0.466,0.534,0.1,0.477,0.191,0.066,0.088,0.088,0.162,0.162,0.362,0.596,0.707,15.08,24.55
277,0.96,0.113,1684.0,0.472,0.528,0.04,0.33,0.26,0.056,0.048,0.048,0.106,0.106,0.232,0.464,0.64,,
278,0.67,0.101,1704.0,0.51,0.49,0.04,0.332,0.271,0.082,0.049,0.049,0.093,0.093,0.373,0.103,0.219,10.5,15.84
279,0.93,0.118,1572.0,0.491,0.509,0.04,0.229,0.276,0.054,0.061,0.061,0.084,0.084,0.481,0.451,0.663,9.35,11.39
280,0.48,0.099,1880.0,0.55,0.45,0.01,0.244,0.291,0.092,0.014,0.014,0.141,0.141,0.112,0.416,0.738,15.22,22.16
281,0.66,0.105,1813.0,0.584,0.416,0.07,0.413,0.276,0.065,0.044,0.044,0.109,0.109,0.335,0.503,0.799,13.97,19.49
282,0.53,0.13,1851.0,0.536,0.464,0.06,0.391,0.325,0.035,0.085,0.085,0.148,0.148,0.341,0.245,0.368,13.47,19.83
283,0.83,0.106,1783.0,0.472,0.528,0.02,0.341,0.158,0.078,0.08,0.08,0.122,0.122,0.213,0.527,0.698,8.95,11.31
284,0.77,0.105,1491.0,0.564,0.436,0.06,0.491,0.176,0.045,0.013,0.013,0.115,0.115,0.357,0.561,0.516,11.57,15.39
285,0.64,0.112,1601.0,0.424,0.576,0.02,0.471,0.252,0.066,0.094,0.094,0.165,0.165,0.346,0.26,0.619,8.75,13.68
286,0.62,0.099,1875.0,0.551,0.449,0.02,0.381,0.286,0.057,0.015,0.015,0.117,0.117,0.381,0.314,0.772,12.67,17.81
287,0.58,0.096,1506.0,0.569,0.431,0.06,0.323,0.179,0.098,0.038,0.038,0.145,0.145,0.429,0.277,0.392,14.57,21.3
288,0.5,0.124,1530.0,0.581,0.419,0.02,0.352,0.175,0.059,0.059,0.059,0.095,0.095,0.129,0.193,0.465,17.15,24.88
289,0.65,0.11,1758.0,0.454,0.546,0.06,0.366,0.334,0.043,0.097,0.097,0.17,0.17,0.36,0.135,0.691,9.42,14.57
290,0.4,0.105,1389.0,0.46,0.54,0.04,0.233,0.181,0.073,0.077,0.077,0.134,0.134,0.427,0.273,0.701,13.07,21.25
291,0.38,0.101,1621.0,0.479,0.521,0.07,0.361,0.349,0.035,0.015,0.015,0.162,0.162,0.166,0.521,0.738,14.16,22.78
292,0.53,0.113,1314.0,0.54,0.46,0.05,0.441,0.344,0.083,0.086,0.086,0.115,0.115,0.155,0.358,0.256,13.88,20.86
293,0.72,0.115,1345.0,0.414,0.586,0.09,0.328,0.243,0.08,0.09,0.09,0.14,0.14,0.379,0.556,0.28,7.89,11.81
294,0.55,0.103,1661.0,0.598,0.402,0.08,0.247,0.292,0.066,0.013,0.013,0.089,0.089,0.444,0.431,0.602,17.26,24.59
295,0.36,0.116,1585.0,0.422,0.578,0.07,0.32,0.249,0.061,0.045,0.045,0.138,0.138,0.103,0.146,0.306,12.22,20.21
296,0.71,0.09,1453.0,0.402,0.598,0.09,0.262,0.212,0.061,0.031,0.031,0.066,0.066,0.234,0.414,0.505,7.64,11.61
297,0.93,0.099,1350.0,0.441,0.559,0.01,0.338,0.183,0.06,0.06,0.06,0.058,0.058,0.426,0.223,0.27,8.41,10.23
298,0.75,0.086,1604.0,0.419,0.581,0.03,0.387,0.258,0.034,0.043,0.043,0.147,0.147,0.478,0.525,0.692,7.87,11.29
299,0.7,0.1,1714.0,0.403,0.597,0.02,0.24,0.26,0.046,0.023,0.023,0.153,0.153,0.254,0.509,0.614,7.73,11.83
300,0.71,0.108,1366.0,0.503,0.497,0.06,0.311,0.207,0.069,0.058,0.058,0.137,0.137,0.292,0.18,0.326,9.96,14.62
301,0.87,0.096,1739.0,0.568,0.432,0.08,0.405,0.321,0.092,0.078,0.078,0.106,0.106,0.417,0.47,0.544,11.31,13.86
302,0.39,0.113,1540.0,0.56,0.44,0.02,0.321,0.185,0.095,0.08,0.08,0.131,0.131,0.328,0.125,0.635,18.23,27.31
303,0.54,0.098,1744.0,0.562,0.438,0.05,0.205,0.23,0.049,0.005,0.005,0.122,0.122,0.383,0.17,0.768,14.88,21.97
304,0.64,0.111,1882.0,0.458,0.542,0.05,0.434,0.234,0.094,0.004,0.004,0.138,0.138,0.289,0.292,0.303,8.87,13.07
305,0.78,0.11,1428.0,0.563,0.437,0.06,0.425,0.256,0.05,0.084,0.084,0.154,0.154,0.474,0.306,0.385,11.43,15.07
306,0.7,0.122,1871.0,0.412,0.588,0.03,0.256,0.242,0.052,0.071,0.071,0.113,0.113,0.232,0.218,0.795,7.25,10.43
307,0.91,0.1,1599.0,0.548,0.452,0.02,0.432,0.207,0.068,0.068,0.068,0.063,0.063,0.283,0.145,0.394,10.58,12.95
308,0.96,0.094,1414.0,0.43,0.57,0.04,0.325,0.294,0.1,0.015,0.015,0.175,0.175,0.411,0.388,0.659,,
309,0.51,0.101,1821.0,0.561,0.439,0.02,0.412,0.336,0.095,0.098,0.098,0.123,0.123,0.446,0.14,0.497,15.38,22.58
310,0.79,0.109,1633.0,0.415,0.585,0.05,0.493,0.287,0.092,0.012,0.012,0.079,0.079,0.391,0.338,0.438,7.75,10.35
311,0.74,0.102,1393.0,0.422,0.578,0.08,0.299,0.207,0.081,0.094,0.094,0.14,0.14,0.439,0.206,0.477,7.98,11.62
312,0.69,0.103,1842.0,0.505,0.495,0.07,0.377,0.211,0.039,0.081,0.081,0.098,0.098,0.194,0.243,0.687,9.97,14.14
313,0.49,0.096,1822.0,0.58,0.42,0.07,0.31,0.199,0.031,0.072,0.072,0.128,0.128,0.368,0.142,0.642,17.23,24.87
314,0.66,0.112,1480.0,0.537,0.463,0.08,0.401,0.171,0.077,0.088,0.088,0.097,0.097,0.462,0.564,0.412,11.62,17.25
315,0.57,0.105,1680.0,0.552,0.448,0.08,0.452,0.229,0.055,0.082,0.082,0.142,0.142,0.328,0.376,0.277,13.67,20.41
316,0.48,0.103,1728.0,0.554,0.446,0.1,0.334,0.34,0.094,0.016,0.016,0.112,0.112,0.456,0.258,0.706,15.66,23.42
317,0.6,0.105,1790.0,0.579,0.421,0.08,0.431,0.303,0.039,0.047,0.047,0.144,0.144,0.46,0.532,0.356,14.76,21.35
318,0.87,0.102,1867.0,0.48,0.52,0.06,0.307,0.181,0.063,0.011,0.011,0.123,0.123,0.131,0.38,0.254,8.38,10.27
319,0.98,0.097,1895.0,0.48,0.52,0.07,0.493,0.324,0.046,0.036,0.036,0.107,0.107,0.405,0.579,0.501,,
320,0.59,0.119,1837.0,0.475,0.525,0.08,0.385,0.179,0.058,0.001,0.001,0.135,0.135,0.318,0.1,0.223,10.3,15.62
321,0.52,0.105,1380.0,0.468,0.532,0.08,0.382,0.344,0.043,0.074,0.074,0.128,0.128,0.387,0.296,0.701,11.47,18.12
322,0.35,0.102,1328.0,0.526,0.474,0.06,0.399,0.19,0.059,0.08,0.08,0.072,0.072,0.292,0.476,0.206,16.87,26.26
323,0.34,0.106,1498.0,0.516,0.484,0.04,0.331,0.229,0.045,0.095,0.095,0.106,0.106,0.306,0.429,0.204,16.52,25.98
324,0.32,0.093,1784.0,0.407,0.593,0.03,0.395,0.331,0.04,0.065,0.065,0.12,0.12,0.109,0.514,0.346,12.24,20.42
325,0.54,0.118,1696.0,0.471,0.529,0.09,0.332,0.231,0.045,0.065,0.065,0.133,0.133,0.18,0.374,0.563,11.26,17.74
326,0.48,0.113,1859.0,0.435,0.565,0.04,0.323,0.349,0.076,0.064,0.064,0.126,0.126,0.321,0.229,0.572,9.99,15.93
327,0.84,0.123,1791.0,0.544,0.456,0.05,0.48,0.174,0.056,0.017,0.017,0.151,0.151,0.121,0.461,0.269,10.5,13.1
328,0.59,0.106,1816.0,0.488,0.512,0.04,0.353,0.301,0.071,0.065,0.065,0.081,0.081,0.181,0.301,0.532,10.7,16.38
329,0.82,0.109,1782.0,0.503,0.497,0.03,0.477,0.281,0.083,0.088,0.088,0.151,0.151,0.497,0.424,0.537,9.51,12.17
330,0.44,0.089,1609.0,0.527,0.473,0.04,0.35,0.313,0.045,0.053,0.053,0.128,0.128,0.31,0.102,0.41,14.93,23.11
331,0.81,0.101,1848.0,0.559,0.441,0.08,0.488,0.325,0.055,0.051,0.051,0.129,0.129,0.183,0.421,0.475,10.86,13.81
332,0.77,0.117,1834.0,0.583,0.417,0.09,0.303,0.281,0.052,0.053,0.053,0.127,0.127,0.109,0.241,0.274,12.29,15.99
333,0.84,0.11,1800.0,0.464,0.536,0.02,0.421,0.319,0.056,0.045,0.045,0.144,0.144,0.144,0.161,0.52,8.67,10.81
334,0.47,0.115,1403.0,0.554,0.446,0.02,0.426,0.31,0.034,0.025,0.025,0.135,0.135,0.426,0.589,0.777,15.84,23.75
335,0.85,0.102,1507.0,0.587,0.413,0.06,0.221,0.182,0.056,0.095,0.095,0.141,0.141,0.392,0.346,0.248,12.1,14.93
336,0.48,0.104,1632.0,0.564,0.436,0.03,0.372,0.231,0.099,0.08,0.08,0.135,0.135,0.117,0.211,0.309,16.36,24.2
337,0.61,0.112,1437.0,0.508,0.492,0.07,0.309,0.21,0.086,0.069,0.069,0.153,0.153,0.416,0.532,0.537,11.2,17.22
338,0.72,0.112,1465.0,0.554,0.446,0.04,0.313,0.244,0.06,0.009,0.009,0.117,0.117,0.497,0.397,0.391,11.56,16.26
339,0.85,0.109,1375.0,0.465,0.535,0.06,0.241,0.261,0.094,0.087,0.087,0.09,0.09,0.313,0.583,0.49,8.82,10.9
340,0.49,0.103,1474.0,0.417,0.583,0.06,0.243,0.238,0.035,0.046,0.046,0.083,0.083,0.493,0.26,0.717,10.18,16.54
341,0.54,0.112,1566.0,0.452,0.548,0.03,0.265,0.194,0.097,0.084,0.084,0.148,0.148,0.224,0.458,0.557,10.65,16.89
342,0.85,0.114,1615.0,0.594,0.406,0.09,0.422,0.167,0.096,0.092,0.092,0.141,0.141,0.467,0.221,0.538,12.33,15.21
343,0.38,0.101,1324.0,0.591,0.409,0.09,0.289,0.194,0.064,0.077,0.077,0.129,0.129,0.404,0.176,0.4,21.15,30.66
344,0.98,0.098,1825.0,0.47,0.53,0.04,0.33,0.202,0.095,0.049,0.049,0.153,0.153,0.112,0.116,0.282,,
345,0.69,0.108,1361.0,0.596,0.404,0.07,0.335,0.325,0.095,0.046,0.046,0.117,0.117,0.324,0.465,0.721,14.28,19.91
346,0.44,0.124,1695.0,0.561,0.439,0.07,0.498,0.23,0.056,0.084,0.084,0.157,0.157,0.139,0.15,0.348,17.1,25.52
347,0.64,0.112,1409.0,0.473,0.527,0.09,0.419,0.159,0.056,0.047,0.047,0.115,0.115,0.101,0.528,0.207,10.06,15.53
348,0.52,0.111,1527.0,0.462,0.538,0.06,0.312,0.295,0.05,0.098,0.098,0.11,0.11,0.467,0.335,0.621,11.28,17.87
349,0.4,0.095,1771.0,0.558,0.442,0.05,0.266,0.291,0.065,0.1,0.1,0.136,0.136,0.247,0.535,0.379,17.82,26.76
350,0.73,0.104,1794.0,0.419,0.581,0.09,0.326,0.236,0.1,0.098,0.098,0.121,0.121,0.128,0.129,0.48,7.87,11.55
351,0.7,0.111,1305.0,0.454,0.546,0.08,0.289,0.344,0.06,0.067,0.067,0.16,0.16,0.495,0.51,0.414,8.97,13.49
352,0.97,0.104,1322.0,0.492,0.508,0.07,0.278,0.163,0.079,0.013,0.013,0.073,0.073,0.108,0.449,0.751,,
353,0.36,0.104,1415.0,0.53,0.47,0.03,0.328,0.199,0.073,0.037,0.037,0.151,0.151,0.492,0.46,0.674,16.91,26.2
354,0.39,0.112,1528.0,0.431,0.569,0.09,0.235,0.314,0.054,0.076,0.076,0.155,0.155,0.331,0.207,0.376,12.06,19.88
355,0.91,0.098,1342.0,0.499,0.501,0.03,0.314,0.308,0.084,0.015,0.015,0.119,0.119,0.21,0.33,0.205,9.46,11.58
356,0.7,0.104,1854.0,0.54,0.46,0.04,0.298,0.21,0.062,0.058,0.058,0.139,0.139,0.405,0.247,0.785,11.14,15.3
357,0.88,0.113,1735.0,0.548,0.452,0.08,0.271,0.204,0.031,0.035,0.035,0.116,0.116,0.499,0.54,0.303,10.64,13.06
358,0.81,0.103,1449.0,0.409,0.591,0.05,0.35,0.265,0.034,0.005,0.005,0.097,0.097,0.476,0.397,0.226,7.64,9.89
359,0.79,0.11,1514.0,0.589,0.411,0.01,0.333,0.237,0.036,0.052,0.052,0.109,0.109,0.274,0.593,0.603,12.55,16.18
360,0.39,0.116,1891.0,0.415,0.585,0.05,0.391,0.16,0.089,0.058,0.058,0.077,0.077,0.469,0.197,0.767,9.62,15.89
361,0.56,0.11,1532.0,0.492,0.508,0.03,0.248,0.33,0.067,0.018,0.018,0.079,0.079,0.158,0.52,0.319,11.47,17.88
362,0.43,0.098,1833.0,0.582,0.418,0.01,0.261,0.153,0.099,0.083,0.083,0.122,0.122,0.15,0.214,0.638,18.84,27.22
363,0.65,0.119,1652.0,0.448,0.552,0.09,0.315,0.288,0.072,0.038,0.038,0.103,0.103,0.319,0.297,0.577,9.26,14.35
364,0.91,0.114,1311.0,0.507,0.493,0.03,0.457,0.242,0.048,0.099,0.099,0.178,0.178,0.29,0.242,0.242,9.63,11.8
365,0.68,0.099,1695.0,0.456,0.544,0.01,0.211,0.186,0.051,0.06,0.06,0.104,0.104,0.135,0.171,0.257,9.17,14.0
366,0.46,0.103,1773.0,0.403,0.597,0.04,0.486,0.212,0.063,0.073,0.073,0.081,0.081,0.475,0.196,0.726,10.06,16.56
367,0.44,0.107,1320.0,0.537,0.463,0.07,0.439,0.338,0.033,0.045,0.045,0.145,0.145,0.406,0.21,0.473,15.52,23.77
368,0.9,0.11,1808.0,0.48,0.52,0.08,0.294,0.152,0.059,0.009,0.009,0.093,0.093,0.253,0.499,0.571,8.97,10.84
369,0.85,0.105,1892.0,0.499,0.501,0.04,0.459,0.189,0.036,0.071,0.071,0.059,0.059,0.278,0.311,0.51,8.51,10.73
370,0.39,0.125,1468.0,0.506,0.494,0.06,0.322,0.348,0.058,0.076,0.076,0.159,0.159,0.227,0.111,0.235,14.94,23.63
371,0.67,0.101,1396.0,0.528,0.472,0.04,0.49,0.191,0.093,0.044,0.044,0.101,0.101,0.498,0.378,0.452,11.11,16.55
372,0.46,0.102,1764.0,0.573,0.427,0.04,0.252,0.259,0.075,0.095,0.095,0.129,0.129,0.332,0.395,0.501,17.49,25.7
373,0.36,0.089,1844.0,0.581,0.419,0.08,0.482,0.256,0.093,0.076,0.076,0.062,0.062,0.271,0.133,0.248,20.71,29.84
374,0.52,0.1,1422.0,0.47,0.53,0.08,0.327,0.324,0.092,0.052,0.052,0.092,0.092,0.496,0.29,0.373,11.57,18.24
375,0.63,0.119,1669.0,0.416,0.584,0.04,0.443,0.286,0.057,0.076,0.076,0.104,0.104,0.279,0.392,0.797,8.63,13.55
376,0.97,0.098,1817.0,0.504,0.496,0.07,0.342,0.206,0.061,0.064,0.064,0.137,0.137,0.184,0.504,0.358,,
377,0.78,0.093,1738.0,0.424,0.576,0.07,0.396,0.323,0.035,0.03,0.03,0.11,0.11,0.273,0.505,0.776,7.93,10.8
378,0.46,0.088,1680.0,0.485,0.515,0.09,0.417,0.264,0.043,0.081,0.081,0.16,0.16,0.125,0.27,0.29,12.78,20.4
379,0.45,0.106,1412.0,0.535,0.465,0.03,0.241,0.345,0.058,0.095,0.095,0.154,0.154,0.276,0.34,0.649,15.14,23.22
380,0.84,0.114,1364.0,0.594,0.406,0.09,0.222,0.267,0.087,0.042,0.042,0.094,0.094,0.178,0.13,0.464,12.39,15.38
381,0.35,0.124,1359.0,0.483,0.517,0.04,0.387,0.236,0.054,0.035,0.035,0.124,0.124,0.167,0.411,0.524,14.96,24.08
382,0.37,0.112,1633.0,0.454,0.546,0.09,0.237,0.261,0.071,0.099,0.099,0.12,0.12,0.156,0.124,0.422,13.37,21.81
383,0.37,0.107,1888.0,0.543,0.457,0.08,0.206,0.275,0.063,0.029,0.029,0.132,0.132,0.262,0.382,0.449,17.01,25.26
384,0.88,0.109,1484.0,0.545,0.455,0.07,0.444,0.319,0.049,0.083,0.083,0.156,0.156,0.133,0.522,0.605,10.54,12.96
385,0.52,0.095,1862.0,0.401,0.599,0.05,0.349,0.323,0.096,0.041,0.041,0.13,0.13,0.351,0.449,0.544,8.26,13.11
386,0.44,0.106,1471.0,0.53,0.47,0.03,0.247,0.346,0.062,0.044,0.044,0.154,0.154,0.401,0.574,0.492,15.11,23.32
387,0.33,0.1,1308.0,0.587,0.413,0.05,0.475,0.304,0.038,0.022,0.022,0.096,0.096,0.327,0.245,0.699,22.32,32.41
388,0.35,0.112,1359.0,0.574,0.426,0.01,0.297,0.274,0.08,0.036,0.036,0.15,0.15,0.327,0.318,0.666,20.43,30.16
389,0.42,0.11,1361.0,0.484,0.516,0.06,0.33,0.279,0.078,0.087,0.087,0.145,0.145,0.261,0.227,0.623,13.57,21.82
390,0.35,0.091,1463.0,0.498,0.502,0.02,0.216,0.216,0.035,0.039,0.039,0.131,0.131,0.315,0.483,0.491,15.46,24.65
391,0.5,0.101,1870.0,0.5,0.5,0.07,0.289,0.298,0.089,0.099,0.099,0.121,0.121,0.474,0.422,0.241,12.08,18.51
392,0.48,0.11,1568.0,0.41,0.59,0.09,0.434,0.173,0.047,0.094,0.094,0.125,0.125,0.305,0.12,0.641,10.07,16.44
393,0.4,0.128,1368.0,0.5,0.5,0.06,0.378,0.166,0.069,0.002,0.002,0.099,0.099,0.493,0.428,0.622,14.48,23.06
394,0.77,0.097,1375.0,0.462,0.538,0.08,0.336,0.22,0.09,0.06,0.06,0.083,0.083,0.255,0.182,0.8,8.76,12.13
395,0.37,0.113,1777.0,0.436,0.564,0.02,0.237,0.266,0.07,0.082,0.082,0.147,0.147,0.442,0.122,0.725,12.61,20.73
396,0.68,0.101,1419.0,0.501,0.499,0.02,0.38,0.162,0.085,0.01,0.01,0.134,0.134,0.415,0.322,0.728,10.16,15.3
397,0.84,0.1,1640.0,0.484,0.516,0.09,0.251,0.192,0.091,0.07,0.07,0.095,0.095,0.458,0.362,0.489,9.16,11.45
398,0.6,0.123,1429.0,0.489,0.511,0.09,0.461,0.162,0.058,0.06,0.06,0.157,0.157,0.148,0.498,0.628,10.81,16.8
399,0.61,0.09,1496.0,0.592,0.408,0.03,0.379,0.169,0.075,0.044,0.044,0.1,0.1,0.459,0.246,0.678,15.38,22.09
400,0.4,0.109,1676.0,0.426,0.574,0.07,0.488,0.346,0.058,0.03,0.03,0.118,0.118,0.15,0.424,0.216,11.7,19.31
401,0.85,0.102,1885.0,0.58,0.42,0.02,0.371,0.252,0.064,0.061,0.061,0.094,0.094,0.219,0.278,0.675,11.19,13.74
402,0.91,0.127,1534.0,0.4,0.6,0.02,0.201,0.291,0.039,0.011,0.011,0.151,0.151,0.152,0.325,0.208,7.55,9.27
403,0.53,0.098,1589.0,0.406,0.594,0.04,0.433,0.33,0.063,0.023,0.023,0.171,0.171,0.487,0.336,0.633,9.39,15.11
404,0.71,0.107,1608.0,0.437,0.563,0.09,0.307,0.332,0.051,0.094,0.094,0.085,0.085,0.466,0.517,0.752,8.48,12.72
405,0.79,0.101,1750.0,0.597,0.403,0.09,0.227,0.177,0.1,0.015,0.015,0.118,0.118,0.104,0.303,0.366,12.99,16.69
406,0.62,0.103,1663.0,0.511,0.489,0.09,0.485,0.185,0.031,0.083,0.083,0.122,0.122,0.448,0.316,0.685,11.17,17.12
407,0.37,0.108,1531.0,0.5,0.5,0.02,0.344,0.294,0.053,0.024,0.024,0.076,0.076,0.387,0.269,0.59,15.12,24.07
408,0.71,0.107,1706.0,0.556,0.444,0.04,0.261,0.259,0.061,0.074,0.074,0.12,0.12,0.253,0.234,0.717,11.84,16.75
409,0.41,0.092,1614.0,0.409,0.591,0.04,0.438,0.168,0.079,0.077,0.077,0.1,0.1,0.239,0.33,0.527,10.86,18.06
410,0.79,0.102,1583.0,0.471,0.529,0.07,0.323,0.3,0.081,0.047,0.047,0.161,0.161,0.218,0.438,0.561,8.92,11.96
411,0.76,0.108,1603.0,0.513,0.487,0.03,0.215,0.224,0.053,0.03,0.03,0.1,0.1,0.401,0.551,0.645,9.86,13.62
412,0.45,0.107,1801.0,0.515,0.485,0.03,0.269,0.246,0.098,0.052,0.052,0.175,0.175,0.246,0.596,0.789,13.95,21.79
413,0.93,0.112,1317.0,0.47,0.53,0.1,0.375,0.309,0.057,0.024,0.024,0.147,0.147,0.118,0.425,0.386,8.99,10.91
414,0.58,0.113,1699.0,0.515,0.485,0.02,0.411,0.172,0.032,0.007,0.007,0.128,0.128,0.425,0.133,0.341,11.82,18.15
415,0.47,0.114,1578.0,0.502,0.498,0.05,0.256,0.302,0.084,0.008,0.008,0.112,0.112,0.282,0.101,0.318,13.21,20.86
416,0.41,0.107,1466.0,0.451,0.549,0.06,0.202,0.3,0.067,0.004,0.004,0.114,0.114,0.465,0.265,0.35,12.5,20.41
417,0.37,0.105,1382.0,0.414,0.586,0.09,0.276,0.246,0.084,0.074,0.074,0.096,0.096,0.246,0.385,0.296,11.7,19.43
418,0.64,0.09,1715.0,0.561,0.439,0.03,0.306,0.343,0.052,0.088,0.088,0.083,0.083,0.348,0.209,0.375,12.97,19.05
419,0.83,0.101,1848.0,0.405,0.595,0.07,0.239,0.327,0.071,0.0,0.0,0.138,0.138,0.376,0.172,0.437,6.95,8.9
420,0.41,0.105,1513.0,0.405,0.595,0.08,0.31,0.263,0.053,0.083,0.083,0.122,0.122,0.243,0.368,0.407,10.72,17.84
421,0.87,0.095,1890.0,0.588,0.412,0.03,0.216,0.222,0.097,0.088,0.088,0.107,0.107,0.175,0.521,0.682,11.39,13.75
422,0.95,0.11,1552.0,0.543,0.457,0.08,0.331,0.251,0.082,0.077,0.077,0.131,0.131,0.448,0.591,0.72,,
423,0.41,0.112,1760.0,0.558,0.442,0.09,0.468,0.23,0.06,0.071,0.071,0.113,0.113,0.12,0.359,0.784,17.6,26.4
424,0.66,0.102,1792.0,0.596,0.404,0.06,0.409,0.24,0.096,0.035,0.035,0.091,0.091,0.403,0.116,0.749,14.8,20.77
425,0.92,0.089,1434.0,0.427,0.573,0.1,0.429,0.209,0.072,0.059,0.059,0.134,0.134,0.464,0.109,0.77,8.11,9.91
426,0.37,0.101,1843.0,0.595,0.405,0.04,0.372,0.257,0.062,0.07,0.07,0.082,0.082,0.418,0.249,0.771,21.81,30.92
427,0.3,0.109,1629.0,0.405,0.595,0.03,0.296,0.155,0.091,0.074,0.074,0.133,0.133,0.202,0.559,0.519,12.47,20.85
428,0.96,0.106,1598.0,0.523,0.477,0.06,0.384,0.167,0.093,0.05,0.05,0.156,0.156,0.23,0.348,0.535,,
429,0.33,0.111,1711.0,0.543,0.457,0.07,0.227,0.249,0.039,0.028,0.028,0.09,0.09,0.49,0.32,0.762,18.4,28.22
430,0.72,0.11,1796.0,0.553,0.447,0.06,0.345,0.34,0.037,0.097,0.097,0.132,0.132,0.264,0.535,0.665,11.46,16.03
431,0.34,0.112,1512.0,0.573,0.427,0.03,0.467,0.272,0.031,0.023,0.023,0.086,0.086,0.39,0.429,0.752,20.64,30.48
