RUN,DPCOEF,POROS,MMP,SOINIT,SWINIT,XKVH,SORW,SORG,SORM,SGR,SSR,SWC,SWIR,KWRO,KRSMAX,W,oil_recovery_at_1hcpv,oil_recovery_at_2hcpv
107,0.4,0.109,1547.0,0.432,0.568,0.07,0.42,0.293,0.055,0.026,0.026,0.146,0.146,0.275,0.258,0.315,11.92,19.64
108,0.77,0.109,1854.0,0.534,0.466,0.03,0.355,0.193,0.099,0.063,0.063,0.147,0.147,0.153,0.138,0.422,10.12,13.47
109,0.4,0.1,1606.0,0.421,0.579,0.09,0.478,0.182,0.098,0.033,0.033,0.122,0.122,0.177,0.376,0.595,11.5,19.01
110,0.49,0.1,1765.0,0.58,0.42,0.01,0.255,0.163,0.047,0.058,0.058,0.071,0.071,0.265,0.492,0.662,17.28,25.12
111,0.42,0.105,1838.0,0.565,0.435,0.03,0.417,0.288,0.071,0.085,0.085,0.095,0.095,0.402,0.105,0.444,17.7,25.99
112,0.9,0.097,1322.0,0.56,0.44,0.07,0.451,0.214,0.082,0.004,0.004,0.096,0.096,0.142,0.396,0.54,10.93,13.36
113,0.83,0.1,1451.0,0.564,0.436,0.09,0.428,0.259,0.079,0.065,0.065,0.092,0.092,0.209,0.404,0.378,11.26,14.15
114,0.69,0.122,1776.0,0.477,0.523,0.02,0.361,0.329,0.094,0.02,0.02,0.163,0.163,0.205,0.204,0.581,9.53,14.38
115,0.35,0.105,1826.0,0.579,0.421,0.01,0.376,0.276,0.065,0.043,0.043,0.106,0.106,0.182,0.248,0.713,20.88,30.27
116,0.51,0.11,1827.0,0.501,0.499,0.03,0.476,0.216,0.056,0.048,0.048,0.07,0.07,0.466,0.557,0.247,12.22,18.89
117,0.71,0.102,1506.0,0.516,0.484,0.01,0.303,0.216,0.064,0.045,0.045,0.167,0.167,0.39,0.544,0.401,10.31,15.01
118,0.38,0.103,1886.0,0.59,0.41,0.09,0.348,0.165,0.09,0.019,0.019,0.133,0.133,0.345,0.516,0.719,20.91,29.45
119,0.77,0.118,1504.0,0.539,0.461,0.09,0.398,0.155,0.045,0.016,0.016,0.143,0.143,0.295,0.316,0.546,10.63,14.32
120,0.46,0.11,1841.0,0.572,0.428,0.02,0.384,0.262,0.07,0.072,0.072,0.124,0.124,0.132,0.156,0.482,17.25,25.07
121,0.81,0.106,1587.0,0.444,0.556,0.08,0.43,0.174,0.067,0.029,0.029,0.158,0.158,0.248,0.486,0.321,8.36,10.83
122,0.93,0.099,1896.0,0.44,0.56,0.04,0.462,0.177,0.085,0.002,0.002,0.152,0.152,0.413,0.54,0.783,7.26,8.94
123,0.5,0.106,1644.0,0.418,0.582,0.04,0.292,0.168,0.063,0.052,0.052,0.159,0.159,0.153,0.511,0.688,10.09,16.34
124,0.65,0.099,1381.0,0.483,0.517,0.05,0.497,0.268,0.077,0.079,0.079,0.103,0.103,0.215,0.329,0.276,10.15,15.57
125,0.45,0.121,1831.0,0.441,0.559,0.1,0.392,0.291,0.082,0.013,0.013,0.158,0.158,0.338,0.598,0.328,10.97,17.7
126,0.64,0.108,1702.0,0.446,0.554,0.04,0.25,0.296,0.055,0.089,0.089,0.17,0.17,0.2,0.541,0.312,9.31,14.48
127,0.84,0.114,1327.0,0.468,0.532,0.01,0.455,0.321,0.075,0.03,0.03,0.129,0.129,0.159,0.319,0.37,8.88,11.08
128,0.39,0.12,1579.0,0.438,0.562,0.03,0.482,0.278,0.064,0.065,0.065,0.115,0.115,0.447,0.282,0.431,12.33,20.25
129,0.67,0.105,1795.0,0.588,0.412,0.09,0.404,0.341,0.047,0.096,0.096,0.109,0.109,0.117,0.393,0.427,14.04,19.73
130,0.99,0.105,1668.0,0.598,0.402,0.08,0.456,0.176,0.039,0.04,0.04,0.14,0.14,0.156,0.287,0.599,,
131,0.9,0.116,1641.0,0.429,0.571,0.04,0.302,0.151,0.062,0.009,0.009,0.153,0.153,0.359,0.163,0.382,8.14,9.95
132,0.41,0.102,1521.0,0.433,0.567,0.04,0.249,0.188,0.073,0.09,0.09,0.101,0.101,0.271,0.334,0.43,11.8,19.42
133,0.96,0.106,1557.0,0.55,0.45,0.01,0.384,0.33,0.069,0.089,0.089,0.099,0.099,0.382,0.242,0.404,,
134,0.86,0.114,1865.0,0.407,0.593,0.08,0.214,0.323,0.098,0.051,0.051,0.087,0.087,0.301,0.462,0.508,6.84,8.56
135,0.81,0.098,1319.0,0.438,0.562,0.07,0.319,0.27,0.081,0.036,0.036,0.107,0.107,0.13,0.507,0.445,8.24,10.67
136,0.41,0.112,1619.0,0.425,0.575,0.09,0.388,0.223,0.086,0.054,0.054,0.144,0.144,0.428,0.586,0.755,11.51,19.0
137,0.97,0.106,1338.0,0.521,0.479,0.09,0.474,0.342,0.077,0.07,0.07,0.145,0.145,0.494,0.303,0.447,,
138,0.45,0.112,1789.0,0.411,0.589,0.04,0.316,0.25,0.049,0.089,0.089,0.094,0.094,0.193,0.478,0.686,10.38,17.08
139,0.72,0.115,1861.0,0.555,0.445,0.08,0.455,0.184,0.032,0.045,0.045,0.14,0.14,0.298,0.405,0.659,11.6,15.59
140,0.6,0.11,1682.0,0.462,0.538,0.04,0.242,0.329,0.06,0.006,0.006,0.157,0.157,0.393,0.324,0.631,10.2,15.96
141,0.68,0.106,1354.0,0.52,0.48,0.08,0.301,0.202,0.097,0.097,0.097,0.102,0.102,0.358,0.5,0.383,10.73,15.97
142,0.33,0.105,1417.0,0.482,0.518,0.01,0.483,0.305,0.046,0.033,0.033,0.128,0.128,0.447,0.224,0.667,15.28,24.7
143,0.8,0.115,1365.0,0.516,0.484,0.01,0.317,0.157,0.044,0.001,0.001,0.158,0.158,0.452,0.284,0.793,9.83,12.87
144,0.48,0.093,1517.0,0.464,0.536,0.03,0.36,0.231,0.089,0.043,0.043,0.149,0.149,0.305,0.569,0.387,11.94,19.06
145,0.46,0.107,1499.0,0.432,0.568,0.09,0.448,0.194,0.089,0.008,0.008,0.103,0.103,0.435,0.231,0.335,11.06,18.02
146,0.93,0.11,1856.0,0.486,0.514,0.07,0.456,0.256,0.04,0.017,0.017,0.084,0.084,0.314,0.312,0.419,8.64,10.43
147,0.8,0.104,1390.0,0.514,0.486,0.08,0.498,0.309,0.083,0.017,0.017,0.172,0.172,0.224,0.445,0.291,9.72,12.76
148,0.96,0.102,1575.0,0.531,0.469,0.03,0.463,0.289,0.082,0.014,0.014,0.111,0.111,0.451,0.53,0.518,,
149,0.61,0.111,1840.0,0.49,0.51,0.08,0.385,0.327,0.046,0.099,0.099,0.126,0.126,0.265,0.204,0.787,10.37,15.53
150,0.92,0.103,1524.0,0.59,0.41,0.04,0.238,0.195,0.043,0.098,0.098,0.153,0.153,0.413,0.218,0.355,11.79,14.29
151,0.49,0.099,1674.0,0.505,0.495,0.08,0.393,0.158,0.064,0.07,0.07,0.082,0.082,0.311,0.337,0.367,12.93,20.18
152,0.98,0.094,1830.0,0.524,0.476,0.03,0.214,0.174,0.091,0.043,0.043,0.111,0.111,0.378,0.298,0.644,,
153,0.89,0.117,1453.0,0.595,0.405,0.06,0.377,0.332,0.033,0.037,0.037,0.154,0.154,0.169,0.144,0.592,12.14,14.79
154,0.5,0.111,1406.0,0.59,0.41,0.1,0.257,0.172,0.044,0.072,0.072,0.117,0.117,0.367,0.308,0.333,17.88,25.68
155,0.31,0.104,1559.0,0.446,0.554,0.01,0.481,0.196,0.078,0.082,0.082,0.138,0.138,0.233,0.279,0.263,14.11,23.19
156,0.65,0.113,1812.0,0.544,0.456,0.02,0.448,0.218,0.081,0.024,0.024,0.158,0.158,0.484,0.546,0.246,11.93,17.26
157,0.75,0.113,1350.0,0.586,0.414,0.02,0.4,0.254,0.093,0.026,0.026,0.172,0.172,0.158,0.445,0.758,12.85,17.2
158,0.59,0.088,1377.0,0.465,0.535,0.04,0.226,0.285,0.095,0.031,0.031,0.15,0.15,0.141,0.285,0.565,10.4,16.29
159,0.85,0.1,1485.0,0.488,0.512,0.07,0.392,0.188,0.085,0.035,0.035,0.128,0.128,0.207,0.208,0.624,9.22,11.44
160,0.32,0.099,1373.0,0.452,0.548,0.01,0.431,0.221,0.066,0.059,0.059,0.155,0.155,0.461,0.493,0.458,14.21,23.28
161,0.92,0.105,1730.0,0.413,0.587,0.03,0.254,0.256,0.05,0.01,0.01,0.108,0.108,0.422,0.146,0.589,7.82,9.58
162,0.85,0.106,1339.0,0.573,0.427,0.03,0.259,0.175,0.055,0.042,0.042,0.139,0.139,0.212,0.339,0.286,11.48,14.23
163,0.98,0.099,1438.0,0.445,0.555,0.03,0.2,0.315,0.061,0.025,0.025,0.141,0.141,0.273,0.347,0.278,,
164,0.57,0.096,1791.0,0.56,0.44,0.02,0.397,0.315,0.096,0.063,0.063,0.128,0.128,0.389,0.143,0.723,14.15,20.86
165,0.33,0.114,1653.0,0.411,0.589,0.08,0.246,0.258,0.074,0.032,0.032,0.138,0.138,0.165,0.598,0.238,12.25,20.36
166,0.5,0.104,1810.0,0.459,0.541,0.02,0.379,0.303,0.089,0.076,0.076,0.143,0.143,0.115,0.203,0.766,11.18,17.73
167,0.84,0.097,1509.0,0.585,0.415,0.05,0.459,0.165,0.076,0.051,0.051,0.121,0.121,0.294,0.233,0.542,12.06,14.98
168,0.84,0.103,1594.0,0.423,0.577,0.08,0.408,0.272,0.045,0.072,0.072,0.125,0.125,0.419,0.315,0.461,7.96,9.92
169,0.73,0.108,1595.0,0.514,0.486,0.07,0.268,0.155,0.08,0.085,0.085,0.085,0.085,0.247,0.128,0.697,10.02,14.36
170,0.74,0.113,1406.0,0.566,0.434,0.1,0.477,0.318,0.097,0.018,0.018,0.145,0.145,0.229,0.586,0.505,12.0,16.38
171,0.88,0.107,1685.0,0.482,0.518,0.09,0.472,0.2,0.074,0.023,0.023,0.114,0.114,0.463,0.575,0.498,9.16,11.17
172,0.51,0.106,1516.0,0.423,0.577,0.05,0.26,0.161,0.038,0.028,0.028,0.14,0.14,0.399,0.436,0.502,10.15,16.35
173,0.97,0.101,1411.0,0.466,0.534,0.1,0.262,0.295,0.043,0.09,0.09,0.088,0.088,0.175,0.368,0.527,,
174,0.35,0.105,1898.0,0.528,0.472,0.06,0.461,0.334,0.044,0.075,0.075,0.132,0.132,0.263,0.379,0.447,16.31,24.63
175,0.62,0.097,1741.0,0.508,0.492,0.02,0.26,0.161,0.084,0.096,0.096,0.156,0.156,0.451,0.442,0.308,11.07,16.99
176,0.43,0.1,1623.0,0.577,0.423,0.03,0.228,0.245,0.033,0.064,0.064,0.162,0.162,0.336,0.487,0.559,18.6,27.28
177,0.82,0.098,1372.0,0.526,0.474,0.05,0.496,0.328,0.031,0.028,0.028,0.118,0.118,0.399,0.374,0.417,10.09,12.87
178,0.81,0.108,1587.0,0.539,0.461,0.05,0.388,0.318,0.07,0.094,0.094,0.145,0.145,0.249,0.381,0.268,10.48,13.48
179,0.36,0.109,1348.0,0.465,0.535,0.04,0.316,0.19,0.067,0.039,0.039,0.141,0.141,0.255,0.155,0.684,14.04,22.77
180,0.44,0.087,1556.0,0.577,0.423,0.03,0.338,0.17,0.05,0.032,0.032,0.096,0.096,0.268,0.587,0.43,18.38,26.9
181,0.49,0.102,1309.0,0.497,0.503,0.07,0.245,0.3,0.047,0.078,0.078,0.123,0.123,0.352,0.446,0.759,12.7,19.89
182,0.82,0.108,1393.0,0.534,0.466,0.08,0.468,0.326,0.084,0.01,0.01,0.156,0.156,0.295,0.241,0.608,10.27,13.1
183,0.32,0.095,1826.0,0.431,0.569,0.06,0.483,0.201,0.044,0.021,0.021,0.164,0.164,0.28,0.448,0.25,12.55,20.77
184,0.71,0.096,1807.0,0.45,0.55,0.02,0.313,0.313,0.048,0.002,0.002,0.126,0.126,0.347,0.526,0.655,8.69,12.66
185,0.6,0.111,1379.0,0.582,0.418,0.02,0.452,0.21,0.062,0.017,0.017,0.126,0.126,0.487,0.512,0.327,14.89,21.6
186,0.86,0.107,1775.0,0.512,0.488,0.07,0.363,0.253,0.093,0.075,0.075,0.146,0.146,0.355,0.526,0.209,9.71,12.0
187,0.5,0.101,1756.0,0.596,0.404,0.07,0.357,0.306,0.064,0.076,0.076,0.105,0.105,0.333,0.185,0.742,18.51,26.33
188,0.82,0.103,1493.0,0.514,0.486,0.09,0.402,0.346,0.066,0.078,0.078,0.101,0.101,0.317,0.295,0.46,9.71,12.44
189,0.74,0.1,1564.0,0.46,0.54,0.01,0.236,0.307,0.036,0.091,0.091,0.144,0.144,0.493,0.189,0.275,8.84,12.77
190,0.35,0.086,1564.0,0.576,0.424,0.03,0.313,0.317,0.041,0.056,0.056,0.158,0.158,0.193,0.57,0.514,20.7,30.43
191,0.37,0.103,1671.0,0.449,0.551,0.04,0.461,0.278,0.047,0.093,0.093,0.146,0.146,0.3,0.578,0.224,13.13,21.49
192,0.74,0.08,1351.0,0.451,0.549,0.02,0.28,0.285,0.088,0.075,0.075,0.075,0.075,0.104,0.228,0.761,8.63,12.5
193,0.38,0.114,1419.0,0.494,0.506,0.05,0.355,0.271,0.041,0.01,0.01,0.134,0.134,0.35,0.479,0.418,14.72,23.42
194,0.53,0.107,1716.0,0.513,0.487,0.08,0.453,0.299,0.056,0.014,0.014,0.098,0.098,0.38,0.131,0.255,12.64,19.42
195,0.76,0.107,1503.0,0.459,0.541,0.03,0.209,0.311,0.083,0.027,0.027,0.102,0.102,0.106,0.476,0.694,8.73,12.28
196,0.45,0.097,1439.0,0.452,0.548,0.06,0.334,0.225,0.034,0.027,0.027,0.112,0.112,0.423,0.261,0.454,11.9,19.31
197,0.44,0.107,1582.0,0.54,0.46,0.02,0.443,0.175,0.083,0.075,0.075,0.155,0.155,0.113,0.453,0.233,15.7,23.97
198,0.94,0.113,1501.0,0.451,0.549,0.06,0.406,0.262,0.095,0.061,0.061,0.081,0.081,0.276,0.216,0.598,,
199,0.66,0.095,1616.0,0.498,0.502,0.07,0.498,0.314,0.048,0.042,0.042,0.146,0.146,0.285,0.14,0.626,10.31,15.69
200,0.83,0.099,1385.0,0.518,0.482,0.07,0.389,0.253,0.1,0.03,0.03,0.143,0.143,0.437,0.332,0.731,9.86,12.47
201,0.96,0.102,1369.0,0.586,0.414,0.09,0.368,0.276,0.041,0.008,0.008,0.077,0.077,0.445,0.552,0.314,,
202,0.43,0.106,1386.0,0.513,0.487,0.06,0.366,0.27,0.098,0.075,0.075,0.126,0.126,0.423,0.223,0.449,14.46,22.69
203,0.69,0.109,1802.0,0.575,0.425,0.05,0.299,0.186,0.082,0.1,0.1,0.104,0.104,0.359,0.406,0.678,12.93,18.09
204,0.3,0.102,1772.0,0.404,0.596,0.07,0.274,0.267,0.067,0.022,0.022,0.146,0.146,0.103,0.415,0.402,12.43,20.77
205,0.78,0.097,1571.0,0.403,0.597,0.04,0.492,0.299,0.037,0.084,0.084,0.162,0.162,0.227,0.538,0.446,7.48,10.17
206,0.34,0.109,1817.0,0.516,0.484,0.09,0.407,0.154,0.052,0.012,0.012,0.159,0.159,0.245,0.177,0.532,16.3,25.45
207,0.39,0.118,1657.0,0.565,0.435,0.06,0.305,0.192,0.031,0.055,0.055,0.156,0.156,0.207,0.222,0.574,18.61,27.73
208,0.9,0.1,1645.0,0.469,0.531,0.04,0.377,0.223,0.08,0.051,0.051,0.13,0.13,0.454,0.233,0.695,8.95,10.88
209,0.88,0.113,1785.0,0.583,0.417,0.09,0.302,0.174,0.07,0.054,0.054,0.115,0.115,0.222,0.554,0.423,11.7,14.32
210,0.4,0.099,1548.0,0.476,0.524,0.1,0.224,0.189,0.031,0.043,0.043,0.068,0.068,0.149,0.38,0.318,13.63,21.96
211,0.63,0.11,1473.0,0.463,0.537,0.06,0.495,0.219,0.065,0.021,0.021,0.08,0.08,0.221,0.215,0.507,9.89,15.36
212,0.97,0.115,1363.0,0.49,0.51,0.05,0.235,0.201,0.09,0.005,0.005,0.147,0.147,0.278,0.197,0.724,,
213,0.63,0.121,1596.0,0.494,0.506,0.09,0.435,0.348,0.098,0.046,0.046,0.113,0.113,0.458,0.275,0.389,10.58,16.26
214,0.64,0.109,1336.0,0.593,0.407,0.06,0.232,0.176,0.091,0.096,0.096,0.128,0.128,0.233,0.345,0.351,14.85,21.23
215,0.36,0.109,1736.0,0.544,0.456,0.06,0.293,0.187,0.043,0.052,0.052,0.16,0.16,0.114,0.504,0.573,17.79,27.13
216,0.77,0.106,1724.0,0.42,0.58,0.08,0.434,0.177,0.095,0.028,0.028,0.157,0.157,0.293,0.408,0.239,7.85,10.88
217,0.48,0.098,1476.0,0.502,0.498,0.04,0.357,0.283,0.047,0.033,0.033,0.119,0.119,0.217,0.412,0.635,13.05,20.53
218,0.59,0.106,1767.0,0.53,0.47,0.04,0.29,0.286,0.068,0.02,0.02,0.142,0.142,0.285,0.463,0.748,12.29,18.66
219,0.47,0.118,1670.0,0.584,0.416,0.06,0.383,0.198,0.077,0.037,0.037,0.126,0.126,0.257,0.252,0.411,18.14,26.31
220,0.7,0.11,1371.0,0.421,0.579,0.08,0.499,0.266,0.067,0.061,0.061,0.168,0.168,0.219,0.282,0.71,8.19,12.42
221,0.93,0.121,1856.0,0.412,0.588,0.1,0.495,0.232,0.058,0.068,0.068,0.094,0.094,0.316,0.494,0.642,7.11,8.75
222,0.33,0.106,1494.0,0.53,0.47,0.07,0.207,0.247,0.087,0.003,0.003,0.119,0.119,0.418,0.237,0.396,17.62,27.37
223,0.69,0.08,1436.0,0.519,0.481,0.1,0.274,0.337,0.071,0.02,0.02,0.155,0.155,0.116,0.524,0.744,10.58,15.65
224,0.4,0.1,1698.0,0.426,0.574,0.03,0.373,0.196,0.072,0.05,0.05,0.098,0.098,0.367,0.59,0.441,11.7,19.31
225,0.82,0.09,1486.0,0.589,0.411,0.02,0.234,0.285,0.071,0.048,0.048,0.108,0.108,0.298,0.44,0.677,12.32,15.5
226,0.94,0.1,1337.0,0.437,0.563,0.04,0.259,0.199,0.066,0.025,0.025,0.126,0.126,0.479,0.58,0.279,,
227,0.8,0.094,1769.0,0.545,0.455,0.09,0.41,0.216,0.038,0.038,0.038,0.165,0.165,0.374,0.437,0.358,10.69,13.88
228,0.35,0.115,1693.0,0.402,0.598,0.04,0.359,0.344,0.066,0.077,0.077,0.166,0.166,0.146,0.31,0.372,11.49,19.22
229,0.64,0.101,1408.0,0.563,0.437,0.06,0.4,0.326,0.093,0.058,0.058,0.141,0.141,0.107,0.192,0.325,13.06,19.17
230,0.65,0.099,1341.0,0.491,0.509,0.09,0.458,0.202,0.052,0.022,0.022,0.146,0.146,0.241,0.344,0.415,10.25,15.72
231,0.55,0.111,1692.0,0.535,0.465,0.06,0.223,0.239,0.048,0.079,0.079,0.159,0.159,0.386,0.304,0.483,13.18,19.94
232,0.54,0.102,1628.0,0.535,0.465,0.03,0.466,0.233,0.046,0.022,0.022,0.142,0.142,0.37,0.256,0.773,13.37,20.23
233,0.92,0.093,1472.0,0.487,0.513,0.06,0.336,0.196,0.032,0.068,0.068,0.088,0.088,0.48,0.352,0.265,9.26,11.3
234,0.49,0.113,1517.0,0.441,0.559,0.05,0.251,0.229,0.039,0.035,0.035,0.065,0.065,0.308,0.518,0.397,10.97,17.65
