RUN,DPCOEF,POROS,MMP,SOINIT,SWINIT,XKVH,SORW,SORG,SORM,SGR,SSR,SWC,SWIR,KWRO,KRSMAX,W,oil_recovery_at_1hcpv,oil_recovery_at_2hcpv
42,0.78,0.082,1375.0,0.33,0.67,0.05,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.82,2.47
43,0.89,0.116,1415.0,0.421,0.579,0.13,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.72,3.11
44,0.97,0.097,1633.0,0.445,0.555,0.13,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
45,0.9,0.084,1490.0,0.455,0.545,0.07,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.28,3.66
46,0.88,0.091,1524.0,0.386,0.614,0.06,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.24,2.65
47,0.98,0.102,1821.0,0.42,0.58,0.01,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
48,0.68,0.113,1373.0,0.334,0.666,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.17,3.13
49,0.99,0.105,1671.0,0.405,0.595,0.03,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
50,0.89,0.059,1587.0,0.435,0.565,0.14,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.96,3.37
51,0.87,0.106,1772.0,0.385,0.615,0.0,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.23,2.72
52,0.67,0.06,1679.0,0.345,0.655,0.0,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.38,3.44
53,0.95,0.095,1753.0,0.356,0.644,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
54,0.92,0.076,1367.0,0.461,0.539,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.34,3.6
55,0.95,0.086,1794.0,0.345,0.655,0.02,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
56,0.93,0.089,1654.0,0.459,0.541,0.05,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.3,3.51
57,0.78,0.081,1729.0,0.339,0.661,0.02,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.93,2.62
58,0.66,0.085,1760.0,0.443,0.557,0.01,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,4.26,6.05
59,0.76,0.079,1881.0,0.446,0.554,0.1,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.41,4.66
60,0.69,0.082,1332.0,0.387,0.613,0.02,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.93,4.16
61,0.89,0.122,1452.0,0.367,0.633,0.07,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.0,2.3
62,0.99,0.068,1584.0,0.428,0.572,0.05,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
63,0.88,0.103,1691.0,0.425,0.575,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.8,3.29
64,0.92,0.085,1630.0,0.464,0.536,0.07,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.39,3.66
65,0.82,0.086,1784.0,0.402,0.598,0.1,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.6,3.47
66,0.8,0.104,1716.0,0.364,0.636,0.07,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.17,2.93
67,0.78,0.1,1896.0,0.438,0.562,0.04,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.09,4.18
68,0.81,0.099,1838.0,0.416,0.584,0.04,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.73,3.65
69,0.88,0.093,1567.0,0.387,0.613,0.03,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.25,2.66
70,0.92,0.076,1379.0,0.405,0.595,0.14,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.47,2.62
71,0.74,0.12,1548.0,0.45,0.55,0.07,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.93,5.36
72,0.91,0.107,1636.0,0.382,0.618,0.05,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.17,2.35
73,0.98,0.088,1487.0,0.356,0.644,0.02,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
74,0.93,0.094,1754.0,0.436,0.564,0.09,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.93,3.08
75,0.77,0.083,1470.0,0.47,0.53,0.06,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,4.21,5.66
76,0.86,0.108,1311.0,0.44,0.56,0.05,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.09,3.82
77,0.76,0.11,1521.0,0.408,0.592,0.14,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.98,4.06
78,0.83,0.051,1627.0,0.451,0.549,0.09,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.4,4.44
79,0.97,0.08,1416.0,0.386,0.614,0.12,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
80,0.87,0.08,1448.0,0.455,0.545,0.12,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.33,4.02
